,cmn,wuu,count
0,我,阿,7
1,们,拉,8
2,那,末,1
3,又,哪,1
4,怎,能,2
5,样,呢,1
6,不,勿,14
7,说,瞎,1
8,废,讲,1
9,这,搿,15
10,个,只,1
11,很,老,6
12,别,要,4
13,了,脱,4
14,天,6,1
15,六,点,1
16,时,钟,2
17,接,寻,1
18,他,伊,13
19,什,啥,6
20,么,辰,1
21,时,光,3
22,你,侬,36
23,把,拿,8
24,块,只,1
25,给,拨,4
26,这,眼,1
27,些,是,1
28,书,啥,1
29,是,人,1
30,谁,个,1
31,的,书,1
32,么,个,3
33,时,辰,4
34,候,光,3
35,都,侪,5
36,的,个,35
37,都,垃,1
38,在,海,7
39,先,跟,1
40,和,㑚,1
41,你,爷,1
42,的,娘,1
43,父,谈,1
44,母,清,1
45,谈,爽,1
46,谈,先,1
47,参,没,1
48,加,多,1
49,的,少,1
50,并,垃,1
51,不,海,1
52,那,诶,1
53,个,额,1
54,些,眼,2
55,相,统,1
56,她,伊,10
57,么,侪,1
58,间,家,1
59,一,家,1
60,了,起,1
61,天,啥,1
62,为,个,1
63,什,道,1
64,么,理,1
65,子,凳,1
66,就,别,1
67,什,样,1
68,么,物,1
69,也,事,1
70,没,侪,1
71,有,呒,1
72,了,没,1
73,才,侪,2
74,知,晓,3
75,道,得,3
76,得,懂,1
77,这,部,1
78,台,照,1
79,吗,伐,12
80,我,按,1
81,叫,照,1
82,你,我,1
83,怎,跟,1
84,么,侬,1
85,做,讲,1
86,你,个,2
87,就,搿,1
88,她,老,1
89,很,欢,1
90,欢,垃,1
91,上,向,4
92,那,哀,3
93,位,拉,1
94,处,垃,1
95,狭,笑,1
96,窄,个,1
97,正,勿,1
98,在,停,1
99,不,个,2
100,断,受,1
101,地,到,1
102,在,垃,2
103,二,两,1
104,该,个,1
105,将,个,1
106,上,浪,1
107,习,会,1
108,己,家,1
109,房,里,1
110,子,向,1
111,是,龌,1
112,肮,龊,1
113,脏,个,1
114,的,闲,1
115,什,像,1
116,么,啥,1
117,也,侪,1
118,赖,靠,1
119,在,了,1
120,谁,人,3
121,请,拿,1
122,你,搿,1
123,把,个,1
124,尾,底,1
125,给,讲,1
126,我,拨,1
127,们,阿,1
128,说,拉,1
129,一,听,1
130,楚,爽,1
131,怎,哪,4
132,么,能,4
133,去,啊,1
134,什,里,1
135,么,耷,1
136,地,去,1
137,方,白,1
138,玩,相,1
139,切,一,1
140,成,劈,1
141,能,得,1
142,说,讲,9
143,吸,香,1
144,里,搭,4
145,得,要,1
146,小,钟,1
147,时,头,1
148,能,好,1
149,把,挪,2
150,完,光,1
151,真,老,1
152,很,交,3
153,多,关,3
154,不,但,1
155,过,是,1
156,让,等,1
157,吧,伐,1
158,了,快,1
159,石,纸,1
160,和,帮,1
161,见,会,2
162,了,个,1
163,一,桩,1
164,件,事,1
165,事,体,1
166,告,跟,1
167,诉,侬,1
168,你,讲,1
169,得,了,3
170,天,朝,1
171,在,屋,2
172,家,里,2
173,中,向,2
174,在,阿,1
175,哪,里,2
176,儿,搭,1
177,识,得,1
178,在,拉,1
179,毁,脱,1
180,校,堂,2
181,孩,人,2
182,我,姆,1
183,母,妈,1
184,亲,搿,1
185,那,辰,1
186,和,跟,2
187,的,小,1
188,女,姑,1
189,孩,娘,1
190,容,装,1
191,纳,勿,1
192,不,牢,1
193,她,垃,1
194,星,礼,1
195,期,拜,1
196,午,天,1
197,拾,作,1
198,东,物,2
199,西,事,2
200,没,伐,1
201,看,喏,1
202,小,当,1
203,桌,台,1
204,和,拉,1
205,我,屋,1
206,们,里,1
207,家,向,1
208,码,头,1
209,外,来,1
210,玩,勿,2
211,行,以,1
212,那,个,1
213,掉,脱,1
214,面,向,1
215,那,箇,1
216,笔,簿,1
217,记,子,1
218,本,是,1
219,是,啥,1
220,说,言,1
221,父,爷,2
222,母,娘,2
223,哪,阿,1
224,太,忒,1
225,点,眼,2
226,说,呒,1
227,有,啥,1
228,过,到,1
229,在,搿,1
230,这,耷,1
231,里,踫,1
232,碰,着,1
233,到,侬,1
234,树,高,1
235,上,头,1
236,掉,落,1
237,下,落,1
238,的,言,1
239,单,踏,1
240,满,个,1
241,你,意,1
242,会,大,1
243,说,利,1
244,义,文,1
245,大,讲,1
246,利,得,1
247,语,来,2
248,把,条,1
249,堵,砬,1
250,住,断,1
251,他,拿,1
252,把,本,1
253,撕,裁,1
254,烂,脱,1
255,亲,老,1
256,爱,公,1
257,的,上,1
258, ,床,1
259,上,啦,1
260,床,勿,1
261,吧,来,1
262, ,自,1
263,不,啊,1
264, ,我,1
265,不,要,1
266,行,拉,1
267,我,垃,1
268,在, ,1
269,上, ,1
270,还,浪,1
271,必,翻,1
272,译,几,1
273,一,句,1
274,你,英,1
275,会,文,1
276,英,得,1
277,走,滚,1
278,开,蛋,1
279,到,了,1
280,厌,怨,1
281,烦,煞,1
282,随,有,1
283,任,题,1
284,何,就,1
285,题,好,1
286,都,唻,1
287,雪,悉,1
288,梨,尼,1
289,这,箇,2
290,里,墶,2
291,许,老,1
292,那,当,1
293,我,光,1
294,语,话,3
295,正,垃,1
296,每,人,1
297,来,像,1
298,像,阿,1
299,我,拉,1
300,安,好,1
301,静,伐,1
302,在,里,1
303,哪,搭,1
304,到,哪,1
305,底,恁,1
306,怎,勒,1
307,么,啦,1
308,本,簿,1
309,您,侬,1
310,的,额,1
311,不,孛,1
312,要,相,1
313,钥,来,1
314,匙,个,1
315,是,死,1
316,死,个,1
317,们,哪,1
318,好,能,1
319,汉,言,1
320,的,讲,1
321,语,言,1
322,使,话,1
323,们,为,1
324,怎,啥,1
325,么,勿,1
326,他,拉,1
327,怀,期,1
328,有,望,1
329,别,覅,1
330,倚,隑,1
331,着,了,1
